component_id,component_name,component_type,trust_boundary,connections,protocols,data_classification
IOT-001,MQTT Brokers (Mosquitto),message_broker,ot_network,IOT-002;IOT-010,MQTT/TLS,operational
IOT-002,Edge Gateways (ARM64),edge_compute,edge,IOT-001;IOT-003,MQTT/HTTPS,operational
IOT-003,Kafka Cluster,event_streaming,application,IOT-002;IOT-004;IOT-005;IOT-006,Kafka/TLS,confidential
IOT-004,InfluxDB,timeseries_database,data,IOT-003,HTTP/TLS,operational
IOT-005,TimescaleDB,timeseries_database,data,IOT-003,PostgreSQL/TLS,operational
IOT-006,Grafana Dashboards,monitoring_ui,application,IOT-004;IOT-005,HTTPS,internal
IOT-007,MinIO Object Storage,object_storage,data,IOT-003,S3/HTTPS,confidential
IOT-008,RKE2 Kubernetes,container_orchestrator,application,IOT-003;IOT-004;IOT-005;IOT-006;IOT-007,HTTPS,confidential
IOT-009,SCADA/PLC Integration,ot_bridge,ot_network,IOT-001;IOT-010,Modbus/DNP3/OPC-UA,critical
IOT-010,PLCs/RTUs,ot_device,ot_network,IOT-009;IOT-001,Modbus/DNP3,critical
IOT-011,Historian Database,historian,ot_network,IOT-009,OPC-UA,operational
IOT-012,IT/OT Firewall,network_security,dmz,IOT-002;IOT-008,TCP/UDP,critical
