Vendor,Category,TotalFundingUSD,LatestRound,LatestRoundYear,Status,SourceURL,LastVerified
Wiz,CNAPP/CTEM,$1.9B,Series E $1B,2024,Private ($12B valuation),https://techcrunch.com/2024/05/07/wiz-raises-1b-at-a-12b-valuation,2025-10-27
Snyk,Dev-centric AppSec,$1.32B,Series G $196.5M,2022,Private ($7.4B valuation),https://snyk.io/news/snyk-closes-196-5-million-series-g-funding,2025-10-27
Orca Security,CNAPP/CTEM,$640M,Series C ext $550M,2023,Private ($1.8B valuation),https://orca.security/resources/press-releases/orca-security-extends-series-c,2025-10-27
Apiiro,ASPM,$135M,Series B $100M,2022,Private,https://techcrunch.com/2022/11/03/applications-security-startup-apiiro-pulls-in-100m-series-b,2025-10-27
Cycode,ASPM,$81M,Series B $56M,2021,Private,https://cycode.com/cycode-raises-56m-series-b-round,2025-10-27
Vulcan Cyber,Remediation Orchestration,$70M,Series B $55M,2023,Acquired by Tenable ($150M) Jan 2025,https://www.prnewswire.com/news-releases/vulcan-cyber-closes-55-million-series-b,2025-10-27
ArmorCode,ASPM,$65M,Series B $40M,2023,Private,https://techcrunch.com/2023/12/04/armorcode-raises-40m,2025-10-27
Aikido Security,SMB All-in-one,$24.5M,Series A $17M,2024,Private,https://www.aikido.dev/blog/we-just-raised-our-17-million-series-a,2025-10-27
GitHub Advanced Security,Dev-centric AppSec,Inside Microsoft,N/A,N/A,Public (Microsoft),https://github.com,2025-10-27
Tenable,Classic VM,Public,N/A,N/A,Public (NASDAQ: TENB),https://www.tenable.com,2025-10-27
Qualys,Classic VM,Public,N/A,N/A,Public (NASDAQ: QLYS),https://www.qualys.com,2025-10-27
FixOps,Context Fusion + Evidence,Pre-seed,N/A,N/A,Private,N/A,2025-10-27
