component_id,component_name,component_type,tier,cloud,technology,exposed,pci_scope,sox_scope
C001,Next.js Trading Dashboard,frontend,presentation,cloudflare,Next.js 14.2 React 18.3,true,true,false
C002,Cloudflare Workers Edge,edge_compute,edge,cloudflare,V8 isolates,true,true,false
C003,Cloudflare WAF,waf,edge,cloudflare,OWASP CRS 4.0,true,true,false
C004,Cloudflare DNS LB,dns,edge,cloudflare,Anycast DNSSEC,true,false,false
C005,Node.js BFF API,backend,application,gcp,Express 4.18 Node.js 20,false,true,false
C006,Spring Boot Order Service,backend,application,gcp,Spring Boot 3.2 Java 21,false,true,true
C007,Spring Boot Settlement Service,backend,application,gcp,Spring Boot 3.2 Java 21,false,true,true
C008,Go Risk Engine,backend,application,gcp,Go 1.22 Gin 1.9,false,true,true
C009,Python Fraud Detection ML,ml_service,application,gcp,Python 3.11 FastAPI TensorFlow,false,true,false
C010,Cloud Spanner Trade Ledger,database,data,gcp,Cloud Spanner multi-region,false,true,true
C011,AlloyDB Risk Models,database,data,gcp,AlloyDB PostgreSQL-compat,false,true,true
C012,Memorystore Redis,cache,data,gcp,Redis 7.2 cluster,false,true,false
C013,BigQuery Analytics,analytics,data,gcp,BigQuery columnar,false,false,true
C014,Cloud Pub/Sub Trade Events,messaging,data,gcp,Pub/Sub,false,true,false
C015,Cloud KMS,security,data,gcp,HSM-backed KMS,false,true,true
C016,VPC Service Controls,security,network,gcp,Service perimeter,false,true,true
C017,GKE Autopilot Cluster,orchestration,infrastructure,gcp,Kubernetes 1.29,false,true,true
C018,Artifact Registry,ci_cd,infrastructure,gcp,Container registry,false,false,false
C019,Cloud Armor,waf,infrastructure,gcp,WAF + DDoS,false,true,false
C020,AWS EKS DR Cluster,orchestration,infrastructure,aws,Kubernetes 1.29,false,true,false
C021,AWS RDS Settlement DR,database,data,aws,PostgreSQL 15,false,true,true
C022,AWS S3 DR Backups,storage,data,aws,S3 Object Lock,false,true,false
C023,AWS CloudTrail,audit,infrastructure,aws,Audit logging,false,false,true
C024,AWS KMS DR Keys,security,data,aws,KMS HSM,false,true,false
C025,Stripe Payment Gateway,external,payment,external,Stripe API v2024-02,true,true,false
C026,Plaid Account Linking,external,payment,external,Plaid API,true,true,false
C027,Clearing House API,external,settlement,external,FIX Protocol 5.0,false,true,true
C028,Market Data Feed,external,data,external,WebSocket + REST,true,false,false
C029,SEC EDGAR Filing,external,regulatory,external,EDGAR XBRL,false,false,true
C030,Kafka Trade Stream,messaging,data,gcp,Confluent Kafka 3.7,false,true,false
C031,Istio Service Mesh,security,infrastructure,gcp,Istio 1.20 mTLS,false,true,false
C032,Cloud Logging,monitoring,infrastructure,gcp,Cloud Logging + Monitoring,false,false,true
C033,OpenTelemetry Collector,monitoring,infrastructure,gcp,OTel 0.96,false,false,false
C034,HashiCorp Vault,security,infrastructure,gcp,Vault Enterprise,false,true,true
C035,Compliance Report Generator,batch,application,gcp,Python 3.11 Celery,false,false,true
