component_id,component_name,component_type,trust_boundary,connections,protocols,data_classification
HC-001,Angular 17 SPA,frontend,internet,HC-002,HTTPS/TLS 1.3,public
HC-002,Azure Front Door,cdn_waf,dmz,HC-001;HC-003,HTTPS,public
HC-003,AKS Cluster,container_orchestrator,application,HC-002;HC-004;HC-005;HC-006;HC-009,HTTPS/gRPC,confidential
HC-004,Cosmos DB,nosql_database,data,HC-003,MongoDB Wire/TLS,phi
HC-005,Azure SQL,relational_database,data,HC-003,TDS/TLS,phi
HC-006,Blob Storage (PHI),object_storage,data,HC-003,HTTPS,phi
HC-007,Key Vault,secrets_management,management,HC-003;HC-004;HC-005;HC-006,HTTPS,critical
HC-008,Event Hub,event_streaming,application,HC-003;HC-009,AMQP/TLS,confidential
HC-009,Logic Apps FHIR,integration,application,HC-003;HC-008;HC-010,HTTPS/HL7 FHIR R4,phi
HC-010,External EHR Systems,external_system,external,HC-009,HL7 FHIR R4,phi
HC-011,API Management,api_gateway,dmz,HC-002;HC-003,HTTPS,confidential
HC-012,Azure Monitor,monitoring,management,HC-003;HC-004;HC-005,HTTPS,internal
