Control ID,Control Name,Family,Status,Fixops Component,Test Reference,Notes
AC-1,Policy and Procedures,AC,INHERITED,Customer policy,,Organizational policy
AC-2,Account Management,AC,IMPLEMENTED,core/rbac_engine.py; core/scim_provisioning_engine.py; core/service_account_auditor_engine.py,tests/test_rbac_engine.py,Multi-tenant accounts with audit trail
AC-2(1),Automated System Account Management,AC,IMPLEMENTED,core/scim_provisioning_engine.py,,SCIM 2.0 provisioning
AC-2(4),Automated Audit Actions,AC,IMPLEMENTED,core/write_audit_middleware.py,tests/test_scif_stage1.py,Every account action audit-chained
AC-2(12),Account Monitoring for Atypical Usage,AC,IMPLEMENTED,core/access_anomaly_engine.py; core/anomaly_detector.py,,
AC-3,Access Enforcement,AC,IMPLEMENTED,core/rbac_engine.py check_tenant_access; core/access_control_engine.py,tests/test_rbac_engine.py,Central enforcement
AC-3(7),Role-Based Access Control with Classification,AC,PLANNED,core/rbac_engine.py,,POA-004 classification labels
AC-4,Information Flow Enforcement,AC,IMPLEMENTED,core/airgap_deployment.py BLOCKED_EXTERNAL_HOSTS,tests/test_airgap_deployment.py,Active probe
AC-5,Separation of Duties,AC,IMPLEMENTED,core/rbac_engine.py,,6 distinct RBAC roles
AC-6,Least Privilege,AC,IMPLEMENTED,docker/Dockerfile.scif USER 1001:1001; core/service_account_auditor_engine.py,,Container runs non-root
AC-6(9),Audit Use of Privileged Functions,AC,IMPLEMENTED,core/audit_logger.py; core/write_audit_middleware.py,tests/test_scif_stage1.py,
AC-7,Unsuccessful Logon Attempts,AC,IMPLEMENTED,core/password_policy_engine.py; core/access_anomaly_engine.py,,Lockout + detection
AC-8,System Use Notification,AC,PARTIAL,suite-ui/aldeci-ui-new/src/pages/Login.tsx,,Banner customizable
AC-11,Device Lock,AC,IMPLEMENTED,suite-api/apps/api/dependencies.py,,Session timeout
AC-12,Session Termination,AC,IMPLEMENTED,suite-api/apps/api/dependencies.py,,
AC-14,Permitted Actions Without Identification,AC,IMPLEMENTED,suite-api/apps/api/app.py,,Health endpoint only
AC-16,Security and Privacy Attributes,AC,PLANNED,,,POA-004 classification labels
AC-17,Remote Access,AC,PARTIAL,core/mfa_management_engine.py FIDO2,,TLS termination at host
AC-17(2),Protection of Confidentiality and Integrity Using Encryption,AC,IMPLEMENTED,core/fips_encryption.py,,TLS 1.2+
AC-18,Wireless Access,AC,N/A,,,Air-gap deployment
AC-19,Access Control for Mobile Devices,AC,N/A,,,Air-gap deployment
AC-20,Use of External Systems,AC,PARTIAL,core/airgap_deployment.py,,Disallowed in pilot
AC-22,Publicly Accessible Content,AC,INHERITED,Customer policy,,
AT-1,Policy and Procedures,AT,INHERITED,,,
AT-2,Literacy Training and Awareness,AT,IMPLEMENTED,core/awareness_campaign_engine.py; core/awareness_score_engine.py,,Pre-built campaigns
AT-3,Role-Based Training,AT,IMPLEMENTED,core/awareness_campaign_engine.py,,30 personas
AT-4,Training Records,AT,IMPLEMENTED,core/audit_logger.py,,Audit-chained
AT-5,Contacts with Security Groups and Associations,AT,INHERITED,,,
AU-2,Event Logging,AU,IMPLEMENTED,core/audit_logger.py AuditEvent; core/write_audit_middleware.py,tests/test_scif_stage1.py,
AU-3,Content of Audit Records,AU,IMPLEMENTED,core/audit_logger.py; core/audit_chain.py,tests/test_scif_stage1.py,UTC + actor + tenant + action + resource + payload-hash
AU-3(1),Additional Audit Information,AU,IMPLEMENTED,core/audit_logger.py,,
AU-4,Audit Log Storage Capacity,AU,IMPLEMENTED,core/log_management_engine.py,,80% disk alert
AU-5,Response to Audit Logging Process Failures,AU,IMPLEMENTED,core/error_handling_auditor.py,,
AU-6,Audit Record Review Analysis Reporting,AU,IMPLEMENTED,core/audit_analytics.py; core/audit_management_engine.py; suite-api audit_router.py,,
AU-6(3),Correlate Audit Record Repositories,AU,PARTIAL,core/audit_analytics.py,,POA-005 SOC integration spec
AU-7,Audit Record Reduction and Report Generation,AU,IMPLEMENTED,core/audit_analytics.py,,
AU-8,Time Stamps,AU,IMPLEMENTED,core/audit_chain.py datetime.now(timezone.utc),tests/test_scif_stage1.py,UTC kernel-derived
