component_id,component_name,component_type,technology,version,trust_boundary,data_classification,ports,dependencies,compliance_scope
C-001,cloudfront-cdn,cdn,AWS CloudFront,2026.1,TB-01,public,443,C-002;C-010,
C-002,aws-waf,firewall,AWS WAF v2,2.0,TB-01,internal,,C-003,PCI-DSS
C-003,application-load-balancer,load_balancer,AWS ALB,2.0,TB-02,internal,443;8080,C-004;C-005;C-006;C-007,PCI-DSS
C-004,api-gateway-service,microservice,Spring Boot 3.2.3,3.2.3,TB-03,confidential,8080,C-005;C-006;C-007;C-009;C-013,PCI-DSS;SOC2
C-005,user-service,microservice,Spring Boot 3.2.3,2.1.0,TB-03,pii,8081,C-008;C-009,GDPR;SOC2
C-006,payment-service,microservice,Node.js 20 LTS,1.8.0,TB-03,pci,3000,C-008;C-009;C-014,PCI-DSS
C-007,catalog-service,microservice,Python 3.12,2.3.0,TB-03,public,8000,C-008;C-009;C-011,
C-008,rds-postgresql,database,Amazon RDS PostgreSQL,16.1,TB-04,pci,5432,,PCI-DSS;SOC2
C-009,elasticache-redis,cache,Amazon ElastiCache Redis,7.2,TB-04,confidential,6379,,PCI-DSS
C-010,s3-media-bucket,storage,Amazon S3,current,TB-04,public,,,
C-011,elasticsearch-cluster,search,Amazon OpenSearch,2.11,TB-04,internal,9200;9300,,
C-012,sqs-order-queue,message_queue,Amazon SQS,current,TB-03,confidential,,C-013,PCI-DSS
C-013,lambda-order-processor,serverless,AWS Lambda Python 3.12,python3.12,TB-03,confidential,,C-008;C-015,
C-014,stripe-api,external_service,Stripe API,v2024-02-15,TB-05,pci,,,PCI-DSS
C-015,sns-notifications,messaging,Amazon SNS,current,TB-03,internal,,,
C-016,cloudwatch-monitoring,monitoring,Amazon CloudWatch,current,TB-03,internal,,,SOC2
C-017,secrets-manager,secrets,AWS Secrets Manager,current,TB-04,secret,,,PCI-DSS;SOC2
C-018,cognito-user-pool,identity,Amazon Cognito,current,TB-03,pii,,,SOC2;GDPR
C-019,react-spa,frontend,React 18.2,18.2.0,TB-01,public,,,
C-020,notification-service,microservice,Python 3.12,1.2.0,TB-03,pii,8082,C-015;C-008,GDPR
