component_id,component_name,component_type,trust_boundary,connections,protocols,data_classification
FS-001,Next.js 14 SPA,frontend,internet,FS-002,HTTPS/TLS 1.3,public
FS-002,Cloudflare Workers,edge_compute,edge,FS-001;FS-003,HTTPS,public
FS-003,GKE Cluster (Primary),container_orchestrator,gcp_vpc,FS-002;FS-004;FS-005;FS-006,HTTPS/gRPC,pci
FS-004,EKS Cluster (DR),container_orchestrator,aws_vpc,FS-003,HTTPS/gRPC,pci
FS-005,Cloud Spanner,distributed_database,gcp_data,FS-003,gRPC/TLS,pci
FS-006,AlloyDB,relational_database,gcp_data,FS-003,PostgreSQL/TLS,pci
FS-007,BigQuery,analytics,gcp_analytics,FS-003,HTTPS,confidential
FS-008,Pub/Sub,messaging,gcp_messaging,FS-003;FS-004,gRPC,confidential
FS-009,Cloud KMS,key_management,gcp_security,FS-003;FS-005;FS-006,HTTPS,critical
FS-010,VPC Service Controls,network_security,gcp_security,FS-003;FS-005;FS-006;FS-007,internal,critical
FS-011,Trading Engine,microservice,gcp_vpc,FS-003;FS-005;FS-008,gRPC,pci
FS-012,Fraud Detection ML,ml_service,gcp_vpc,FS-003;FS-007;FS-008,gRPC,confidential
