component_id,component_name,component_type,trust_boundary,connections,data_classification,compliance_scope,technology,port,protocol
COMP-001,React SPA,frontend,internet,"COMP-002,COMP-003",public,"PCI-DSS,GDPR",React 18.2 / TypeScript 5.3,443,HTTPS
COMP-002,CloudFront CDN,cdn,internet,"COMP-001,COMP-004",public,PCI-DSS,AWS CloudFront,443,HTTPS
COMP-003,AWS WAF,firewall,dmz,"COMP-002,COMP-004",metadata,PCI-DSS,AWS WAF v2,443,HTTPS
COMP-004,Application Load Balancer,load_balancer,dmz,"COMP-003,COMP-005",metadata,"PCI-DSS,SOC2",AWS ALB,443,HTTPS
COMP-005,API Gateway,gateway,private_subnet,"COMP-004,COMP-006,COMP-007,COMP-008,COMP-009,COMP-010,COMP-014",mixed,"PCI-DSS,SOC2",Express 4.18 / Node.js 20,3000,HTTP
COMP-006,Auth Service,microservice,private_subnet,"COMP-005,COMP-011,COMP-013",PII,"PCI-DSS,SOC2,GDPR",Spring Boot 3.2 / Java 17,8080,HTTP
COMP-007,Payment Service,microservice,private_subnet,"COMP-005,COMP-011,COMP-013,COMP-015",PCI,"PCI-DSS,SOC2",Spring Boot 3.2 / Java 17,8081,HTTP
COMP-008,Order Service,microservice,private_subnet,"COMP-005,COMP-011,COMP-012,COMP-013",PII,"PCI-DSS,SOC2",Spring Boot 3.2 / Java 17,8082,HTTP
COMP-009,Catalog Service,microservice,private_subnet,"COMP-005,COMP-011,COMP-013,COMP-016",public,SOC2,Spring Boot 3.2 / Java 17,8083,HTTP
COMP-010,Media Service,microservice,private_subnet,"COMP-005,COMP-016",public,SOC2,Express 4.18 / Node.js 20,3001,HTTP
COMP-011,RDS PostgreSQL (Payments),database,database_subnet,"COMP-006,COMP-007,COMP-008,COMP-009",PCI,"PCI-DSS,SOC2",PostgreSQL 15.4,5432,TCP/TLS
COMP-012,SQS Order Queue,message_queue,private_subnet,"COMP-008,COMP-014",PII,SOC2,AWS SQS,443,HTTPS
COMP-013,ElastiCache Redis,cache,private_subnet,"COMP-005,COMP-006,COMP-007,COMP-008,COMP-009",session,"PCI-DSS,SOC2",Redis 7.0,6379,TCP/TLS
COMP-014,Lambda Event Processor,serverless,private_subnet,"COMP-012,COMP-005,COMP-017",internal,SOC2,Java 17 on AWS Lambda,n/a,Event
COMP-015,Stripe Payment Gateway,external_service,internet,COMP-007,PCI,PCI-DSS,Stripe API v2024-02,443,HTTPS
COMP-016,S3 Media Bucket,object_storage,private_subnet,"COMP-009,COMP-010,COMP-002",public,SOC2,AWS S3,443,HTTPS
COMP-017,CloudWatch,monitoring,aws_managed,"COMP-005,COMP-006,COMP-007,COMP-008,COMP-009,COMP-010,COMP-014",operational,SOC2,AWS CloudWatch,443,HTTPS
COMP-018,SNS Notifications,notification,private_subnet,"COMP-008,COMP-014",PII,"SOC2,GDPR",AWS SNS,443,HTTPS
COMP-019,Analytics Service,microservice,private_subnet,"COMP-005,COMP-011,COMP-013",internal,SOC2,FastAPI 0.109 / Python 3.11,8090,HTTP
COMP-020,Notification Service,microservice,private_subnet,"COMP-005,COMP-018,COMP-013",PII,"SOC2,GDPR",Express 4.18 / Node.js 20,3002,HTTP
