component_id,component_name,component_type,trust_boundary,connections,protocols,data_classification
GOV-001,Keycloak SSO (SAML/OIDC),identity_provider,dmz,GOV-002;GOV-003,HTTPS/SAML 2.0,cui
GOV-002,.NET 8 API,api_server,application,GOV-001;GOV-003;GOV-004;GOV-005;GOV-007,HTTPS/TLS 1.3,cui
GOV-003,Istio Service Mesh,service_mesh,application,GOV-001;GOV-002;GOV-004;GOV-005,mTLS,cui
GOV-004,PostgreSQL (FIPS),relational_database,data,GOV-002;GOV-003,PostgreSQL/TLS-FIPS,secret
GOV-005,MinIO (S3-compat),object_storage,data,GOV-002;GOV-003,HTTPS,cui
GOV-006,RabbitMQ,messaging,application,GOV-002;GOV-003,AMQP/TLS,cui
GOV-007,OpenTelemetry Collector,observability,management,GOV-002;GOV-003,gRPC/OTLP,internal
GOV-008,HashiCorp Vault (FIPS),secrets_management,security,GOV-002;GOV-003;GOV-004,HTTPS,secret
GOV-009,Air-Gapped Deployment,deployment,isolated,GOV-002;GOV-003;GOV-004;GOV-005;GOV-006,internal,secret
GOV-010,CAC/PIV Auth Module,hardware_auth,security,GOV-001,PKCS#11/PIV,secret
GOV-011,STIG Scanner,compliance_scanner,management,GOV-002;GOV-004,HTTPS,cui
GOV-012,Audit Log Vault,audit_storage,security,GOV-002;GOV-007,syslog/TLS,cui
